,asteroid,X,Y,Z
350,DES=+2000495.csv,188024837.0939072,-316447663.0168126,13383031.37034668
351,DES=+2000495.csv,189319354.3921137,-315427347.6498113,13348690.6138376
352,DES=+2000495.csv,190610111.3696097,-314400768.1656282,13314084.74372879
353,DES=+2000495.csv,191897075.8037491,-313367934.0700746,13279213.9869452
354,DES=+2000495.csv,193180215.441284,-312328855.0372254,13244078.57692716
355,DES=+2000495.csv,194459497.9991397,-311283540.9102722,13208678.75366843
356,DES=+2000495.csv,195734891.1651988,-310232001.7023726,13173014.76375382
357,DES=+2000495.csv,197006362.599097,-309174247.5975022,13137086.86039719
358,DES=+2000497.csv,298453589.4567588,3128096.155520621,-2740761.834504858
359,DES=+2000497.csv,298352643.4656911,5195769.705393754,-2565855.48315163
360,DES=+2000497.csv,298240577.2670142,7263249.186465435,-2390853.592958248
361,DES=+2000497.csv,298117387.1653423,9330457.319543894,-2215762.626751701
