,X,Y,Z
289,-220461553.8449971,635199092.4504197,271184688.3964078
290,-34494423.36680851,696942136.2351288,-247791968.4380594
291,-159093883.5080619,639212688.9345195,-250483276.9479878
292,-322389046.5958042,699290992.9463695,61371011.1892823
293,-235770844.9686592,647326609.1375395,-369535851.9525765
294,-121771804.7995938,703729404.2059768,138879803.1391684
295,-202966162.0491863,711363182.5641801,-125741118.2223844
296,-131945388.8257985,683205478.0284197,33967302.70052299
297,-5755057.805041287,645483623.8380051,-182674944.3274848
298,-184262753.0709529,666085458.8336751,-33250864.32981345
299,231945935.2661867,676232551.0675505,-215718890.5204777
300,-454930829.6460246,533576254.346702,271007523.0854385
301,-121112988.7994342,756205267.7162312,-26564253.1078341
302,108774302.5359531,734593351.5651637,-27126820.23994365
303,-299333441.8793299,676574095.6071419,-82411881.46910939
304,-256759829.1589409,662899578.91647,105236167.3102606
305,-142127936.683435,752513843.1951224,-9926379.672211977
306,-30145066.35045209,676849605.1838831,104206856.0261192
307,7697374.458833862,584489114.4372274,-123102147.7737505
308,-146819508.7269834,668914196.4146057,84013053.67267165
309,-41442688.57303286,735541251.9278889,-114641060.6444516
310,-190591924.2921977,773820477.4509885,225474995.2727248
311,-279454896.7305382,741754219.4571666,67228759.71896237
312,35819769.68009798,747532999.9802498,102664390.5335528
313,-49032316.10612873,714533976.0691841,133997979.2014418
314,-191924957.7385357,699528273.7766652,202572303.4327222
315,-266956909.2826628,623292514.6852832,249809639.0536967
316,-206752863.2308596,701803359.9992032,133312786.1346698
317,-18481103.92583103,704265425.5604845,24228113.37858742
318,-165415965.3816807,734988472.7125088,-103243102.4101185
319,-387374102.9603012,633092821.5459341,43047218.95679823
320,-126868154.1342516,766512360.9117761,-76668367.35344955
321,-116681252.8945846,687893493.3751504,125413435.6623302
322,170735498.2055607,714280498.6298143,-10852471.14834684
323,-95523653.3260756,816609809.8678705,114452410.4639966
324,-39091120.51623448,666419316.9462566,-211721612.8145607
325,-123726529.0685372,657348059.2553575,103779707.0458277
326,-134727799.7076592,702201382.7517915,-8641116.055440813
327,-372727964.4839077,641269078.4868568,-142919588.1310433
328,-17732022.20286252,718681514.3993132,-28100364.02335423
329,-218451763.8154705,726824242.5827478,-2219203.811160117
330,-251333268.8553104,709405329.4155197,174228824.318322
331,-194013447.7977103,706010965.1846119,-19937898.98749685
332,76828763.48375978,704259792.9632477,92515576.91204038
333,-319551.1254351972,729203583.785859,-18505912.50267085
334,-275756212.1367225,674005512.824631,-181670681.1864775
335,66529136.18974304,711999234.1985469,-190371462.1724135
